STATE__,BGN_DATE,BGN_TIME,TIME_ZONE,COUNTY,COUNTYNAME,STATE,EVTYPE,BGN_RANGE,BGN_AZI,BGN_LOCATI,END_DATE,END_TIME,COUNTY_END,COUNTYENDN,END_RANGE,END_AZI,END_LOCATI,LENGTH,WIDTH,F,MAG,FATALITIES,INJURIES,PROPDMG,PROPDMGEXP,CROPDMG,CROPDMGEXP,WFO,STATEOFFIC,ZONENAMES,LATITUDE,LONGITUDE,LATITUDE_E,LONGITUDE_,REMARKS,REFNUM
1,4/18/1950 0:00:00,130,CST,97,MOBILE,AL,TORNADO,0,,,,,0,,0,,,14,100,3,0,0,15,25,K,0,K,,,,3040,8812,3051,8806,,1
1,4/18/1950 0:00:00,145,CST,3,BALDWIN,AL,TORNADO,0,,,,,0,,0,,,2,150,2,0,0,0,2.5,K,0,,,,,3042,8755,0,0,,2
1,2/20/1951 0:00:00,1600,CST,57,FAYETTE,AL,TORNADO,0,,,,,0,,0,,,0.1,123,2,0,0,2,25,K,0,,,,,3340,8742,0,0,,3
1,06/08/1951 00:00,900,CST,89,MADISON,AL,TORNADO,0,,,,,0,,0,,,0,100,2,0,0,2,2.5,K,0,,,,,3458,8626,0,0,,4
1,11/15/1951 0:00:00,1500,CST,43,CULLMAN,AL,TORNADO,0,,,,,0,,0,,,0,150,2,0,0,2,2.5,K,0,,,,,3412,8642,0,0,,5
1,11/15/1951 0:00:00,2000,CST,77,LAUDERDALE,AL,TORNADO,0,,,,,0,,0,,,1.5,177,2,0,0,6,2.5,K,0,,,,,3450,8748,0,0,,6
1,11/16/1951 0:00:00,100,CST,9,BLOUNT,AL,TORNADO,0,,,,,0,,0,,,1.5,33,2,0,0,1,2.5,K,0,,,,,3405,8631,0,0,,7
1,1/22/1952 0:00:00,900,CST,123,TALLAPOOSA,AL,TORNADO,0,,,,,0,,0,,,0,33,1,0,0,0,2.5,K,0,,,,,3255,8558,0,0,,8
1,2/13/1952 0:00:00,2000,CST,125,TUSCALOOSA,AL,TORNADO,0,,,,,0,,0,,,3.3,100,3,0,1,14,25,K,0,,,,,3334,8740,3336,8738,,9
1,2/13/1952 0:00:00,2000,CST,57,FAYETTE,AL,TORNADO,0,,,,,0,,0,,,2.3,100,3,0,0,0,25,K,0,,,,,3336,8738,3337,8737,,10
